variant,reps,group,scenario,seed,transaction_cost_bps,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v28d_sig02,300,curated,deepcheck_b12_s8080,29,22.0,-0.005201599644788518,0.001798400355211482,False,0.006079300810590382
v28d_sig02,300,curated,deepcheck_b12_s8080,29,25.0,-0.00533334298904845,0.0016666570109515498,False,0.005896244043710386
v28d_sig02,300,curated,deepcheck_b28_s9090,5,18.0,-0.0027565970150316256,0.0042434029849683745,False,0.006323462816354741
v28d_sig02,300,curated,deepcheck_b28_s9090,5,22.0,-0.0029213551448321715,0.004078644855167828,False,0.006079300810590382
v28d_sig02,300,curated,deepcheck_b28_s9090,5,25.0,-0.0032443092465039903,0.00375569075349601,False,0.005896244043710386
v28d_sig02,300,curated,deepcheck_b28_s9090,17,18.0,-0.0025650291739101713,0.004434970826089828,False,0.006323462816354741
v28d_sig02,300,curated,deepcheck_b28_s9090,17,22.0,-0.003043382058221866,0.003956617941778134,False,0.006079300810590382
v28d_sig02,300,curated,deepcheck_b28_s9090,17,25.0,-0.003402003181345281,0.003597996818654719,False,0.005896244043710386
v28d_sig02,300,curated,deepcheck_b28_s9090,29,18.0,-0.002917275449127221,0.004082724550872779,False,0.006323462816354741
v28d_sig02,300,curated,deepcheck_b28_s9090,29,22.0,-0.0034434055780569904,0.0035565944219430098,False,0.006079300810590382
v28d_sig02,300,curated,deepcheck_b28_s9090,29,25.0,-0.0034681671173305505,0.0035318328826694496,False,0.005896244043710386
v28d_sig02,300,curated,stress_b14_s7070,5,18.0,-0.005284095660755694,0.0017159043392443061,False,0.006323462816354741
v28d_sig02,300,curated,stress_b14_s7070,5,22.0,-0.005772914858956968,0.0012270851410430324,False,0.006079300810590382
