variant,envelope,scenario,seed,transaction_cost_bps,path_bootstrap_reps,runtime_sec,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v25v_n8,random_train,random_train_b16_p9682,29,25,600,1.5611391249694861,-0.005886277909232279,0.0011137220907677207,False,0.005195956249227418
v25v_n8,random_train,random_train_b17_p13896,5,22,600,1.5119756659842096,-0.005337513128110976,0.001662486871889024,False,0.005384220548819973
v25v_n8,random_train,random_train_b17_p13896,5,25,600,1.5285281669930555,-0.005503507378974309,0.0014964926210256912,False,0.005195956249227418
v25v_n8,random_train,random_train_b17_p13896,17,22,600,1.7183624590397812,-0.00468549814145136,0.0023145018585486402,False,0.005384220548819973
v25v_n8,random_train,random_train_b17_p13896,17,25,600,1.5239937080186792,-0.004990059272837727,0.002009940727162273,False,0.005195956249227418
v25v_n8,random_train,random_train_b17_p13896,29,22,600,1.5472498339950107,-0.004935908838892128,0.0020640911611078724,False,0.005384220548819973
v25v_n8,random_train,random_train_b17_p13896,29,25,600,1.5138040829915553,-0.005184657026610634,0.0018153429733893658,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b10_p10572,5,22,900,1.6134627499850467,-0.005987806489094649,0.0010121935109053508,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b10_p10572,5,25,900,1.6434150830027647,-0.006190325466184471,0.0008096745338155289,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b10_p10572,17,22,900,1.6416587919811718,-0.005584292578976663,0.0014157074210233373,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b10_p10572,17,25,900,1.6136233750148676,-0.005831219206131938,0.001168780793868062,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b10_p10572,29,22,900,1.5914926250115968,-0.005935761158530722,0.0010642388414692783,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b10_p10572,29,25,900,1.6158895840053447,-0.0061942016860470125,0.0008057983139529877,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b11_p10164,5,22,900,1.6166722910129465,-0.005998340547943159,0.001001659452056841,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b11_p10164,5,25,900,1.607348165998701,-0.006320987215031454,0.0006790127849685464,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b11_p10164,17,22,900,1.6092672499944456,-0.005717088950966753,0.0012829110490332474,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b11_p10164,17,25,900,1.6236234999960288,-0.006045212246033604,0.0009547877539663957,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b11_p10164,29,22,900,1.6006497089983895,-0.005477769207255917,0.0015222307927440833,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b11_p10164,29,25,900,1.5867699580267072,-0.005759231376177371,0.0012407686238226296,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b11_p12340,5,22,900,1.6670230830204673,-0.005951303557136689,0.0010486964428633111,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b11_p12340,5,25,900,1.6497388749849051,-0.006179642914382793,0.0008203570856172068,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b11_p12340,17,22,900,1.661249583994504,-0.005719504665900904,0.001280495334099096,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b11_p12340,17,25,900,1.7377528340439312,-0.006053132361295443,0.0009468676387045568,False,0.005195956249227418
